name,tier,ongoing,topic,fight,tpc,venue,office,desc,period
Teen Parent Prosper,Tier 3,Yes,Workforce Development,Earn More,"$544,616.00",City,CIFD,"The Teen Parent Prosper program provides subsidized employment and wraparound support to low-income, pregnant or parenting teens, enabling them to successfully ...",2019–Present
Older Workers Program,Tier 3,Yes,Senior Services,Care More,"$470,500.00",City/State,Aging,This program provides for direct provision of job training and placement services to assist low-income individuals 55 years or older to obtain unsubsidized empl...,1965–Present
Free Sterilization,Tier 3,Yes,Holistic Support,Care More,"$4,749,541.00",City/State,Animal Services,Covers the full cost of sterilization for companion animals for qualified low-income residents,1970s–Present
Pet Food Pantry,Tier 3,Yes,Holistic Support,Care More,$0.00,City,Animal Services,A community resource to assist low-income families and individuals in the City of Los Angeles experiencing financial hardship who need help feeding their animal...,2010s–Present
Project LEAD,Tier 3,Yes,Homelessness Reduction,Care More,$0.00,City,City Attorney,Individuals with a history of opioid use are connected with harm reduction services through contacts with law enforcement,2019–Present
Upward Mobility Program,Tier 3,Yes,Workforce Development,Earn More,$0.00,City,CHRED,"Engages young people and community-based organizations to host dozens of upward mobility and youth programming, including: College & Career Readiness, Financial...",2015–Present
LGBTQIA+ Work,Tier 3,Yes,Social Justice,Care More,"$40,000.00",City,CHRED,"Our LGBTQIA+ work connects community groups, city departments, local civic officers, commissioners, and elected officials to enhance the work within the LGBTQIA...",2010s–Present
Centralized Certification Program,Tier 3,Yes,Economic Development,Earn More,"$926,685.00",City,BCA,Administers the City's Centralized Certification program which assists underrepresented businesses with increased exposure to prime contractors and government a...,1990s–Present
Business Inclusion Section,Tier 3,Yes,Economic Development,Earn More,"$616,517.00",City,BCA,"Responsible for administering the rules and regulations governing the City of Los Angeles Minority-owned Business Enterprise (MBE), Woman-owned Business Enterpr...",1990s–Present
Vision Lab/ Digital Inclusion,Tier 3,Yes,Workforce Development,Earn More,"$210,997.00",Federal,EWDD,"The Vision Lab, a digital inclusion program, will partner with other youth systems and community-based organizations to provide technology-based courses and men...",2021–Present
WorkSource - LA County Probation - Project Invest,Tier 3,Yes,Workforce Development,Earn More,"$502,100.00",City,EWDD,The Los Angeles County Probation Department and the Department of Economic Opportunity developed the INVEST program and provides funding to two (2) of the City'...,2019–Present
WorkSource - Department of Rehabilitation (DOR) Discretionary Grant,Tier 3,Yes,Workforce Development,Earn More,"$893,000.00",City/County,EWDD,"EWDD, through the California Employment Development Department for the Disability Access, Equity, and Inclusion (DAEI) grant, will partner with California DOR a...",2022–Present
DOL Vision Lab Community Projects,Tier 3,Yes,Workforce Development,Earn More,"$210,997.00",State,EWDD,The Vision Lab Project consists of several program features including offering technology-related programming that will support individuals who live in or devel...,2021–Present
DOL Peer Homeless System Navigation (PHSN) Program,Tier 3,Yes,Homelessness Prevention,Care More,"$454,592.00",Federal,EWDD,"In partnership with Youth Development Dept, this allocation will fund a workforce development service provider (from the WorkSource or YouthSource System) to se...",2022–Present
YouthSource - Intensive Transitions,Tier 3,Yes,Workforce Development,Earn More,"$177,000.00",Federal,EWDD,"Continues funding of the Intensive Transitions project, which supports youth offenders returning from probation camps by linking them to education and employmen...",2019–Present
Rapid Response  Layoff Aversion Strategies- LAEDC,Tier 3,Yes,Workforce Development,Earn More,"$400,000.00",Federal,EWDD,Layoff Aversion is a required strategy under Rapid Response typically implemented in partnership with economic development and business associations. The intent...,2000s–Present
YouthSource - Peer to Peer Counseling Initiative,Tier 3,Yes,Workforce Development,Earn More,"$140,000.00",City/Federal,EWDD,"In partnership with the Youth Development Department, the Certified Peer Specialist Demonstration Project trains up to 70 YSC program participants in mental hea...",2022–Present
Low-Income Assistance Program,Tier 3,Yes,Homelessness Reduction,Care More,$0.00,Federal,LAFD,Exemption from ambulance transport fees for those whose household income does not exceed the maximum allowable,1990s–Present
Homeless Incentive Program,Tier 3,Yes,Homelessness Reduction,Care More,"$4,633,906.00",City,HACLA,County of Los Angeles grant which provides financial incentives to tenants and landlords to participate in the Section 8 HCV homelessness program,2019–Present
Family Self-Sufficiency Grant,Tier 3,Yes,Workforce Development,Earn More,"$1,414,564.00",County,HACLA,Enables families assisted through the HCV program to increase their earned income without jeopardizing their voucher assistance.  This budget reflects the grant...,1990s–Present
Moderate Rehabilitation,Tier 3,Yes,Housing Costs,Build More,"$2,259,779.00",Federal,HACLA,"Designed to upgrade substandard rental housing and to construct new properties by providing rental subsidies for low income individuals and families, many of wh...",1970s–Present
Single Room Occupancy,Tier 3,Yes,Housing Costs,Build More,"$6,834,051.00",Federal,HACLA,"Designed to upgrade substandard rental housing and to construct new properties by providing rental subsidies for low income individuals and families, many of wh...",1970s–Present
HIRE LA Youth Employment Program,Tier 3,Yes,Workforce Development,Earn More,"$686,646.00",Federal,HACLA,Provides various job development services for Adults and Dislocated workers.,2017–Present
Affordable Housing Commission - In Process of Being Consolidated with Rent Adjustment Commission under the approved FY 2025-2026 Budget,Tier 3,Yes,Housing Supply,Build More,$0.00,City/Federal,LAHD,"Makes policy recommendations to address the City’s housing needs, including creating housing opportunities; reviewing government plans and budgets to ensure con...",1992–Present
Accessible Housing Program,Tier 3,Yes,Housing Costs,Build More,"$61,211.00",City,LAHD,Ensures that people with disabilities have physical and programmatic access to affordable housing,1998–Present
OurCycleLA,Tier 3,Yes,Workforce Development,Earn More,$0.00,City,ITA,"A digital inclusion program to maximize the use of the computers while reducing the electronic waste footprint, provide job training to youths and employment op...",2020–Present
Police Academy Magnet Schools (PAMS),Tier 3,Yes,Workforce Development,Earn More,$0.00,City,LAPD,"In 1995, the Police Academy Magnet Schools (PAMS) was established within the LAUSD to teach middle and high school students about peer leadership, physical fitn...",1995–Present
LAPD Cadet Program,Tier 3,Yes,Workforce Development,Earn More,$0.00,City,LAPD,The program has 4 goals: (1) to recruit young men and women who are interested in building positive relationships between the police and the youth of our commun...,1970s–Present
LA Community Composting,Tier 3,Yes,Workforce Development,Earn More,"$211,050.00",City/State,Public Works,"LA Community Composting and Food Recovery is a job program that hires Angelenos (18-26 years old) to maintain community composting sites and gardens, manage sur...",2022–Present
SwimLA Program,Tier 3,Yes,Holistic Support,Care More,"$758,136.00",City/State,RAP,"SwimLA ensures that young Angelenos between the ages of 4 and 17 have more opportunities to learn how to swim. With support from partners, the program expands s...",1990s–Present
24-Hour Public Restroom Access (Venice),Tier 3,Yes,Homelessness Reduction,Care More,"$122,275.00",City/Private,RAP,Maintenance services to allow year-round 24-hour access to one public restroom (ten stalls) at Venice Beach.,2019–Present
Homeless Related Services Teams,Tier 3,Yes,Homelessness Reduction,Care More,"$191,500.00",City,RAP,Crews dedicated to homeless related response maintenance and the prioritization of bulky item removals at facilities to protect the safety and health of the pub...,2020–Present
Park Restroom Enhancement Program / High Use Sites,Tier 3,Yes,Homelessness Reduction,Care More,"$800,471.00",City,RAP,Increased restroom cleanings at heavily-used park locations and extension of bathroom hours and days in order to meet the needs of park patrons.,2019–Present
Community School Parks,Tier 3,Yes,Holistic Support,Care More,"$104,400.00",City,RAP,"Designated area on a school campus made available for public use for recreation and play during non-school hours in park deficient areas of the City, at no cost...",2000s–Present
Girls Play LA (GPLA),Tier 3,Yes,Holistic Support,Care More,"$518,690.00",City/County,RAP,The GPLA program is focused on girls' sports througout the Deapartment's under-served communities.  The program strives to get and keep girls involved in sports...,2010s–Present
CLASS Parks Teen Program,Tier 3,Yes,Holistic Support,Care More,"$1,557,335.00",City,RAP,"The CLASS Parks Teen Program operates 37 Teen Club sites across the city.  The teen clubs provide clean and safe, supervised after school and weekend enrichment...",1990s–Present
Juvenile Justice Crime Prevention Act,Tier 3,Yes,Violence Prevention,Care More,"$349,043.00",City,RAP,"Support for programs intended to deliver targeted, youth-focused services with the intentions of preventing juvenile crime and promoting positive youth developm...",2000–Present
City Pathways for Youth,Tier 3,Yes,Workforce Development,Earn More,"$814,644.00",County,RAP,City Pathways for Youth is a grant-funded workforce development initiative that provides paid internship opportunities for young people ages 16 to 30 across the...,2022–Present
LA Youth Summit,Tier 3,No,Workforce Development,Earn More,$0.00,City,YDD,"Summit bringing together young leaders from across Los Angeles to collaborate, learn, and develop solutions to pressing City challenges. Designed by youth for y...",2018–Present
Personal Financial Management Project,Tier 3,Yes,Workforce Development,Earn More,"$55,000.00",City,YDD,"Financial empowerment initiative equipping youth and young adults with financial management skills through videos, smartphone-based activities, and a facilitati...",2010s–Present
Scouting America Expansion Project,Tier 3,Yes,Holistic Support,Care More,"$485,000.00",City,YDD,"Scouts expansion program in Council District 2 providing after-school academic support, leadership activities, and field trips for children and youth. The progr...",2022–Present
Peer Homeless System Navigator Program,Tier 3,Yes,Homelessness Reduction,Care More,"$751,108.00",City,YDD,"Peer navigator pilot program employing and training low-income community college students to conduct outreach and connect transition-age, low-income, and housin...",2022–Present
YouthSource Advisory Council Program,Tier 3,Yes,Workforce Development,Earn More,"$350,000.00",City/Federal,YDD,"Program establishing advisory councils at all YouthSource Centers. These councils are composed of youth participants who provide input on outreach, retention, e...",2022–Present
Zoo Camp Scholarship program,Tier 3,Yes,Holistic Support,Care More,"$38,500.00",City/Private,Zoo,"Zoo Camp is for children independent of their parents and provides a safe, fun, and nurturing setting where children can focus on making both child and animal f...",1980s–Present
County Measure A Recreation Access Transportation,Tier 3,Yes,Holistic Support,Care More,"$375,000.00",City/Private,Zoo,"Grants to establish new programs or expand/enhance existing programs  to increase County residents’ access to public lands, park facilities, and park amenities,...",2024–Present
Zoo Pals Scholarship Program,Tier 3,Yes,Holistic Support,Care More,"$75,000.00",County,Zoo,"Zoo Pals provides free admission, bus transportion, and class programming to Title 1 schools primarily in the Los Angeles Unified School District",1990s–Present
LAPL Summer Outreach Program,Tier 3,Yes,Holistic Support,Care More,$0.00,City/Private,Zoo,The Los Angeles Public Library (LAPL) Summer Outreach Program is a partnership with LAPL that provides outreach programming related to outdoor nature play at ap...,2010s–Present
Migrant Education Program,Tier 3,Yes,Holistic Support,Care More,$0.00,City,Zoo,The Migrant Education Program (MEP) is a partnership with Los Angeles Unified School District's Beyuond the Bell office that provides summer enrichment for migr...,1970s–Present
Office of Traffic Safety*,Tier 3,Yes,Violence Prevention,Care More,"$394,500.00",City,,"CIFD offers educational workshops on car passenger, pedestrian, and bicycle safety and participates in community events throughout the city.",2000s–Present
Victims of Crime Act (VOCA) Backfill Contracts,Tier 3,Yes,Utilities,Save More,"$2,165,057.00",State/Federal,CIFD,VOCA Backfill contracts restore services that were discontinued or reduced due to the reductions in the State's VOCA funding for service providers that offer cr...,2022–Present
Ending Family Poverty Initiative,Tier 3,Yes,Social Justice,Care More,$0.00,Federal,CIFD,"CIFD is working with USC to begin to identify strategies and recommendations to help alleviate poverty in the city. CIFD hosts an ""Ending Poverty Summit"" every ...",2023–Present
"Commissions (Commission on Community and Family Services, Community Action Board, and Domestic Violence Alliance)",Tier 3,Yes,Holistic Support,Care More,$0.00,City,CIFD,"The commissions provide recommendations for the development, planning, implementation, and evaluation of anti-poverty programs serving low-income individuals, f...",1980s–Present
Discount Licenses,Tier 3,Yes,Homelessness Reduction,Care More,$0.00,City,CIFD,$10 dog license for low-income residents who are aged 62 and over or disabled,1980s–Present
Motel Conversions,Tier 3,Yes,Homelessness Reduction,Care More,$0.00,City,Animal Services,"The use of existing hotels, motels,  transient occupancy residential structures and hostels for Supportive Housing or Transitional Housing for persons experienc...",2022–Present
Safe Parking,Tier 3,Yes,Homelessness Reduction,Care More,$0.00,City,City Attorney,Provides a safe place to park every night while utilizing services for housing,2020–Present
"LA Diversion, Outreach & Opportunities for Recovery (DOOR)",Tier 3,Yes,Homelessness Reduction,Care More,$0.00,City,City Attorney,"Comprehensive, health-focused, preventative approach to addiction that proactively engages individuals at elevated risk of returning to the City Attorney’s Offi...",2019–Present
Community Outreach Court,Tier 3,Yes,Homelessness Reduction,Care More,$0.00,City,City Attorney,The COC helps people experiencing homelessness and those at-risk of being homeless navigate the criminal court process by offering an array of legal aid service...,2019–Present
Homeless Patient Dumping,Tier 3,Yes,Homelessness Reduction,Care More,$0.00,City,City Attorney,"Requires hospitals to work with the patient's family when discussing treatment and discharge, to create an appropriate patient discharge plan and to obtain a si...",2019–Present
Misdemeanor Mental Health Diversion/ CARE Court,Tier 3,Yes,Social Justice,Care More,$0.00,City,City Attorney,An innovative approach to dealing with offenders who suffer from mental illness and - in many instances - are experiencing homelessness,2022–Present
ORE Policy Work and Reports,Tier 3,Yes,Violence Prevention,Care More,$0.00,City/County,City Attorney,"Provides research and equity analysis on city policy and programs including a citywide racial equity audit, an annual budget equity report, and a plan for addre...",2019–Present
Young Adult Dinner Dialogues,Tier 3,Yes,Social Justice,Care More,$0.00,City,CHRED,"LAPD requested that the City Human Relations Commission convene the Youth Dinner Dialogue Program, focusing on a diverse group of young adults, ages 18-24, and ...",2019–Present
Civil Rights Enforcement,Tier 3,Yes,Wages,Earn More,$0.00,City,CHRED,"LA Civil Rights has the authority to enforce the City’s Civil and Human Rights Law, which prohibits discrimination in the private sector in the areas of commerc...",1990s–Present
State Certified Labor Compliance Program - Prevailing Wage Enforcement,Tier 3,Yes,Wages,Earn More,"$3,381,441.00",City,CHRED,"Responsible for monitoring and enforcing state and federal prevailing wage and apprenticeship requirements on the City's public works projects.  In addition, ad...",1990s–Present
Contract Compliance,Tier 3,Yes,Workforce Development,Earn More,"$105,471.00",City/State,BCA,"Responsible for ensuring that all contractors doing business with the City comply with City, State and Federal requirements relating to affirmative action, equa...",1990s–Present
WorkSource - Severe Winter Storm National Dislocated Worker Grant,Tier 3,Yes,Violence Prevention,Care More,"$562,500.00",City,BCA,"The Los Angeles area and much of California experienced strong storms in early February from January 31, 2024, through February 9, 2024. A sequence of multiple ...",2023–Present
Gang Injunction Curfew (GIC) Settlement (LARCA 2.0),Tier 3,Yes,Workforce Development,Earn More,"$1,125,000.00",Federal,EWDD,The City of Los Angeles is investing up to $30 million in its workforce development system as part of the class action settlement in the case of Rodriguez v. Ci...,2022–Present
Youth Jobs Training Programs - CD 7,Tier 3,Yes,Workforce Development,Earn More,"$2,372,750.00",City,EWDD,Funding will be used to pilot a new sidewalk training program in Council District 7. Participants will receive classroom training and work experience.,2023–Present
JJCPA Probation,Tier 3,Yes,Homelessness Reduction,Care More,"$120,150.00",City,EWDD,Juvenile Justice Crime Probation Act (JJCPA) youth are justice involved youth referred by the County Probation Department via specified probation protocols. JJC...,2000–Present
Shelter and Housing Program: Existing Building Conversion,Tier 3,Yes,Homelessness Reduction,Care More,$0.00,County,EWDD,The Shelter and Housing Program established a set of Standards for temporary homeless shelters within existing buildings. The intent is to optimize the Mechanic...,2023–Present
Shelter and Housing Program: RV Storage Lots,Tier 3,Yes,Housing Costs,Build More,"$829,197.00",City,BOE,"Evaluation, feasibility and construction of existing parking lots or vacant lots for the storage of recreational vehicles.  ",2022–Present
Multi-Family Service Coordinator Grants,Tier 3,Yes,Housing Supply,Build More,"$441,817.00",City,BOE,Staffing to coordinate and promote services to residents at 4 rent subsidy properties.,1990s–Present
Affordable Housing Program,Tier 3,Yes,Homelessness Prevention,Care More,$0.00,Federal,HACLA,"Supports the construction, rehabilitation, and preservation of affordable housing",1990s–Present
Homelessness Prevention Program,Tier 3,Yes,Housing Supply,Build More,$0.00,City/Federal,LAHD,Efforts to stabilize lower-income tenants and prevent their displacement from their homes,2000s–Present
Housing Element Implementation,Tier 3,Yes,Workforce Development,Earn More,"$30,000.00",City/Federal,LAHD,Guides the creation and implementation of the City's housing policy from 2021 to 2029. Includes ordinances and implementation tools that facilitate development ...,2021–Present
Police Orientation and Preparation Program (POPP),Tier 3,Yes,Violence Prevention,Care More,$0.00,City,LACP,"The program prepares students for the moral, ethical, and physical standards required by the LAPD and includes a rigorous, two-year college curriculum that enab...",1990s–Present
Community Safety Partnership (CSP) Bureau,Tier 3,Unknown,Workforce Development,Earn More,$0.00,City,LAPD,A relationship-based policing model to build trust and reduce crime in lower-income neighborhoods and housing communities.,2011–Present
"Mentorship program, Career Development - Diversity, Equity & Inclusion Division",Tier 3,Yes,Homelessness Reduction,Care More,$0.00,City,LAPD,"Internal mentorship and career development program within LAPD's Diversity, Equity and Inclusion Division, designed to support the advancement of underrepresent...",2020–Present
San Julian Park Maintenance Program,Tier 3,Yes,Homelessness Reduction,Care More,"$97,400.00",City,LAPD,Ground maintenance and security services at San Julian Park in Skid Row.,2010s–Present
Gladys Park Maintenance Program,Tier 3,Yes,Workforce Development,Earn More,"$108,000.00",City,RAP,Ground maintenance and security services at Gladys Park in Skid Row.,2010s–Present
Olivia E. Mitchell L.A. City Youth Council,Tier 3,No,Workforce Development,Earn More,"$90,000.00",City,RAP,"Program offering leadership development to 30 youth (two from each Council District) through training on local government operations, involvement in community p...",2019–Present
Young Ambassador Program,Tier 3,Yes,Housing Supply,Build More,$0.00,City,YDD,Global leadership program offering international travel to cultural and heritage sites for low-income L.A. College Promise students. Activities include civic se...,2019–Present
State ADU streamline SB 543,Tier 3,Yes,Workforce Development,Earn More,$0.00,City,YDD,California Senate Bill 543 streamlines the permitting process for Accessory Dwelling Units (ADUs) statewide. The law reduces barriers to ADU construction by lim...,2026-Present
Cool LA,Tier 3,Yes,Utilities,Save More,$0.00,City,DWP,"LADWP energy efficiency and home comfort program for income-qualified customers already enrolled in EZ-SAVE. Provides free energy audits, weatherization improve...",2010s–Present
Project ANGEL (DWP Bill Assistance),Tier 3,Yes,Utilities,Save More,$0.00,City,DWP,Customer and employee contribution-funded utility bill assistance program administered through United Way of Greater Los Angeles. Provides one-time grants to LA...,1990s–Present
Opioid Settlement Programs,Tier 3,Yes,Holistic Support,Care More,$0.00,City/Private,CAO,"City has accumulated approximately $39 million in opioid litigation settlement funds. Programs are in active development as of 2025, with proposed uses includin...",2022–Present
